Дальневосточный;ТЭ10ви;168666603;168666603;168666603;169129973;168666603;168666603;168666603;169129973;168666603;168666603;168666603;169129973;168666603;168666603;168666603;169129973;168666603;168666603;156052213;95479888;32146349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;ВЛ80ви;282343;282343;282343;283118;282343;282343;282343;283118;282343;282343;188229;188746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;2ЭС5Кви;2723051;2723051;2723051;2730532;2723051;2723051;2723051;2730532;2723051;2723051;2723051;2730532;2723051;2723051;2723051;2730532;2723051;2723051;2723051;2590505;1117149;488753;488753;490095;488753;488753;488753;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;3ЭС5Кви;940255;940255;940255;942838;940255;940255;940255;942838;940255;940255;940255;942838;940255;940255;940255;942838;940255;940255;564153;565703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ТЭ10ви;3102840;3102840;3102840;3111364;3102840;3102840;3102840;3111364;3102840;3102840;3102840;3111364;3102840;3102840;3102840;3111364;3102840;3102840;3102840;1885675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ВЛ80ви;1410382;1410382;1410382;1414256;1410382;1410382;1410382;1414256;1410382;1410382;1410382;1414256;1410382;1128305;846229;565703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЭП1ви;658800;658800;658800;660610;658800;658800;658800;660610;658800;658800;658800;660610;658800;658800;658800;519051;188229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЧС2ви;501107;501107;501107;502483;501107;501107;501107;502483;501107;501107;501107;502483;501107;501107;501107;502483;501107;501107;501107;502483;501107;501107;501107;502483;501107;501107;501107;502483;501107;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЭП2Кви;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;1904205;1904205;1909437;1904205;2405312;2405312;2411920;2405312;2405312;2405312;2411920;2405312;2405312
Западно-Сибирский;ТЭП70ви;263932;263932;263932;264657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;М62ви;9965592;9965592;9965592;9992970;9965592;9965592;9965592;9992970;9965592;9965592;9965592;9992970;9965592;9965592;9965592;35345870;35249032;35249032;35249032;35345870;35249032;35249032;35249032;35345870;35249032;35249032;35249032;35345870;35249032;35249032;35249032;35345870;35249032;35249032;35249032;35345870;35249032;35249032
Северо-Западный;ТЭП70ви;188051;188051;188051;188568;188051;188051;188051;188568;188051;188051;188051;188568;188051;188051;188051;188568;188051;188051;188051;188568;188051;188051;188051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;ВЛ80ви;329400;329400;329400;330305;329400;329400;329400;330305;329400;329400;329400;330305;329400;329400;329400;283118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЧС2ви;25283440;25283440;25283440;25352900;25283440;25283440;25283440;25352900;25283440;25283440;25283440;25352900;25283440;25283440;25283440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЧС7ви;7324485;7324485;7324485;7344607;7324485;6917569;6917569;6528539;6510653;6510653;4882990;4080337;4069158;4069158;4069158;4080337;4069158;4069158;2034579;2040169;2034579;2034579;2034579;2040169;2034579;2034579;2034579;2040169;2034579;2034579;2034579;2040169;2034579;2034579;2034579;2040169;2034579;2034579
Московский;М62ви;3675402;918851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ТЭ10ви;11381565;11381565;11381565;11412833;11381565;11381565;11381565;11412833;11381565;11381565;11381565;11412833;11381565;11193440;5925939;2075061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
